nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Hellboy: The Science of Evil,X360,Action,Konami Digital Entertainment,0.1,24-Jun-08,44.0,31.0,5.1,8.0,Krome Studios
Toukiden,PSP,Action,Tecmo Koei,0.17,,,,,,
Angry Birds: Star Wars,PSV,Strategy,Activision,0.03,29-Oct-13,,,2.4,11.0,Rovio Entertainment Ltd
Major League Baseball 2K10,PS3,Sports,Take-Two Interactive,0.18,2-Mar-10,74.0,19.0,5.3,4.0,Visual Concepts
Steins;Gate: Hiyoku Renri no Darling,PS3,Adventure,5pb,0.02,,,,,,
LEGO Harry Potter: Years 1-4,X360,Adventure,Warner Bros. Interactive Entertainment,1.26,29-Jun-10,79.0,58.0,8,56.0,Traveller's Tales
Pursuit Force,PSP,Racing,Sony Computer Entertainment,0.16,7-Mar-06,75.0,59.0,7.7,21.0,Bigbig Studios
Sherlock Holmes: Secret of The Silver Earring,Wii,Adventure,Focus Home Interactive,0.03,,,,,,
Spider-Man 3,PSP,Platform,Activision,0.27,16-Oct-07,52.0,7.0,7.9,7.0,Treyarch
DiRT 2,Wii,Racing,Codemasters,0.36,8-Sep-09,51.0,10.0,5.5,22.0,Codemasters
Tetris Evolution,X360,Puzzle,THQ,0.08,19-Mar-07,52.0,21.0,tbd,,Mass Media
Let's Cheer,X360,Misc,Take-Two Interactive,0.1,7-Nov-11,,,tbd,,Cat Daddy Games
Mercenaries 2: World in Flames,PS3,Shooter,Electronic Arts,0.82,31-Aug-08,72.0,43.0,7.1,63.0,Pandemic Studios
Heavy Fire: The Chosen Few 3D,3DS,Shooter,Mastiff,0.02,19-Dec-11,,,tbd,,
Rapala: We Fish,Wii,Sports,Activision,0.54,29-Sep-09,,,tbd,,Activision
MLB 10: The Show,PS3,Sports,Sony Computer Entertainment,0.69,2-Mar-10,91.0,33.0,8.3,96.0,SCEA
Gretzky NHL,PSP,Sports,Sony Computer Entertainment,0.1,14-Mar-05,61.0,23.0,7.4,8.0,Page 44 Studios
Tomb Raider (2013),PS4,Action,Square Enix,0.14,,,,,,
Escape from Bug Island,Wii,Action,Eidos Interactive,0.06,25-Jul-07,37.0,13.0,5,25.0,Spike
Monster Jam,Wii,Racing,Activision,0.16,19-Nov-07,,,7.8,8.0,Activision
Once Upon A Time,Wii,Misc,Storm City Games,0.01,9-Dec-10,,,tbd,,
Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,Misc,Hudson Soft,0.09,,,,,,
FIFA Soccer 14,3DS,Sports,Electronic Arts,0.14,,,,,,
Chaotic: Shadow Warriors,X360,Action,Activision,0.14,10-Nov-09,60.0,4.0,tbd,,FUN Labs
Ouka Sengoku Portable,PSP,Adventure,Alchemist,0.01,,,,,,
MotoGP 10/11,X360,Racing,Capcom,0.05,15-Mar-11,72.0,31.0,6.7,27.0,Monumental Games
Fishing Master (jp sales),Wii,Sports,Konami Digital Entertainment,0.06,,,,,,
Minna no Ennichi,3DS,Action,Namco Bandai Games,0.05,,,,,,
Tony Hawk's Project 8,X360,Sports,Activision,0.47,7-Nov-06,81.0,65.0,7.5,33.0,Neversoft Entertainment
Don King Boxing,Wii,Sports,Take-Two Interactive,0.24,31-Mar-09,55.0,17.0,tbd,,2K Shanghai
Star Wars The Clone Wars: Republic Heroes,X360,Action,LucasArts,0.35,6-Oct-09,43.0,37.0,5,13.0,Krome Studios
Nicktoons: Attack of the Toybots,Wii,Platform,THQ,0.43,23-Oct-07,60.0,4.0,6.6,5.0,Blue Tongue Entertainment
The History Channel: Battle for the Pacific,PS3,Shooter,Activision,0.07,19-Feb-08,36.0,7.0,2.4,15.0,Activision
Cross Edge,PS3,Role-Playing,Nippon Ichi Software,0.2,26-May-09,52.0,32.0,7.1,79.0,Compile Heart
Centipede: Infestation,3DS,Shooter,Atari,0.03,1-Nov-11,,,tbd,,WayForward
Casper's Scare School: Spooky Sports Day,Wii,Sports,Blast! Entertainment Ltd,0.02,11-Oct-10,,,tbd,,Blast! Entertainment Ltd
Pictionary: Ultimate Edition,X360,Misc,THQ,0.19,15-Nov-11,53.0,4.0,tbd,,Page 44 Studios
Harry Potter and the Deathly Hallows - Part 1,X360,Action,Electronic Arts,0.41,16-Nov-10,38.0,42.0,5.5,34.0,EA Bright Light
Rayman Legends,X360,Platform,Ubisoft,0.24,3-Sep-13,90.0,35.0,8.1,160.0,Ubisoft Montpellier
Fracture,X360,Shooter,LucasArts,0.32,7-Oct-08,63.0,60.0,6.2,37.0,Day 1 Studios
New Love Plus,3DS,Simulation,Konami Digital Entertainment,0.14,,,,,,
Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu,PSP,Adventure,Alchemist,0.03,,,,,,
Naruto Shippuden: Clash of Ninja Revolution III,Wii,Fighting,Nintendo,0.49,17-Nov-09,74.0,23.0,8,15.0,8ing/Raizing
Nobunaga no Yabou: Soutensoku with Power-Up Kit,PSP,Strategy,Tecmo Koei,0.02,,,,,,
WWE SmackDown vs. Raw 2010,X360,Fighting,THQ,1.02,20-Oct-09,80.0,59.0,8.4,30.0,Yuke's
World Snooker Championship 2007,PS3,Sports,Sega,0.1,,,,,,
Street Fighter X Tekken,X360,Fighting,Capcom,0.39,6-Mar-12,83.0,45.0,4.2,162.0,Capcom
Disney Sing It: Party Hits,Wii,Misc,Disney Interactive Studios,0.62,12-Oct-10,,,tbd,,Disney Interactive Studios
Fable II,X360,Role-Playing,Microsoft Game Studios,4.16,21-Oct-08,89.0,95.0,6.4,2260.0,Lionhead Studios
DoDonPachi Resurrection,X360,Shooter,Rising Star Games,0.05,4-Nov-11,77.0,10.0,8.4,10.0,Cave
Animal Planet: Vet Life,Wii,Simulation,Activision,0.09,22-Sep-09,,,tbd,,Activision Blizzard
Jonah Lomu Rugby Challenge,X360,Sports,Home Entertainment Suppliers,0.24,18-Oct-11,73.0,14.0,6.9,7.0,Sidhe Interactive
Every Extend Extra,PSP,Shooter,Disney Interactive Studios,0.08,7-Nov-06,74.0,45.0,8.3,8.0,Q Entertainment
Warriors Orochi 2,X360,Action,Tecmo Koei,0.06,23-Sep-08,44.0,28.0,7.9,12.0,Omega Force
Nintendo Land,WiiU,Action,Nintendo,2.81,18-Nov-12,77.0,61.0,7.7,280.0,Nintendo
Silent Hill: Shattered Memories,Wii,Adventure,Konami Digital Entertainment,0.45,19-Jan-10,79.0,56.0,8.3,180.0,Climax Group
Medal of Honor Heroes 2,PSP,Shooter,Electronic Arts,1.12,13-Nov-07,69.0,20.0,7.5,23.0,EA LA
Aliens in the Attic,Wii,Action,Playlogic Game Factory,0.08,4-Aug-09,,,tbd,,Revistronic
Rapala Pro Bass Fishing 2010,Wii,Sports,Activision,0.22,28-Sep-10,,,tbd,,FUN Labs
Up,Wii,Adventure,THQ,0.55,26-May-09,62.0,6.0,tbd,,Asobo Studio
Dangan-Ronpa,PSP,Adventure,Unknown,0.23,25-Nov-10,,,9.6,11.0,Spike
Backyard Baseball '09,Wii,Sports,Atari,0.04,10-Jun-08,37.0,4.0,7.8,5.0,Humongous Entertainment
MLB 08: The Show,PS3,Sports,Sony Computer Entertainment,0.69,4-Mar-08,85.0,33.0,9,73.0,SCEA San Diego Studios
No More Heroes: Heroes' Paradise,X360,Action,Marvelous Interactive,0.02,,,,,,
Koi Sentai Love & Peace the P.S.P: Power Zenkai! Special Youso Tenkomori de Portable Ka Daisakusen de Aru!,PSP,Action,Broccoli,0.01,,,,,,
Just Dance: Summer Party,Wii,Misc,Ubisoft,0.4,19-Jul-11,,,tbd,,Ubisoft
Football Manager Handheld 2011,PSP,Sports,Sega,0.41,6-Dec-10,77.0,5.0,tbd,,Sports Interactive
Aliens: Colonial Marines,PS3,Shooter,Sega,0.43,12-Feb-13,43.0,25.0,3.4,262.0,Gearbox Software
Tears to Tiara II: Haou no Matsuei,PS3,Role-Playing,Aqua Plus,0.04,,,,,,
Battle vs. Chess,X360,Misc,TopWare Interactive,0.02,TBA,,,,,TopWare Interactive
Prinny: Can I Really Be The Hero? (US sales),PSP,Action,,0.06,,,,,,
Go Play: Circus Star,Wii,Action,Majesco Entertainment,0.11,9-Jun-09,,,tbd,,N-Fusion Interactive Entertainment Corp.
Rock Band Country Track Pack,PS3,Misc,MTV Games,0.18,21-Jul-09,,,tbd,,Harmonix Music Systems
Pure,X360,Racing,Disney Interactive Studios,2.44,23-Sep-08,85.0,55.0,7.9,75.0,Black Rock Studio
Harvest Moon 3D: A New Beginning,3DS,Action,Marvelous Entertainment,0.62,6-Nov-12,74.0,20.0,8.1,37.0,Marvelous AQL
Rise of the Argonauts,PS3,Role-Playing,Codemasters,0.17,16-Dec-08,57.0,34.0,7.1,17.0,Liquid Entertainment
Tenchu: Shadow Assassins,Wii,Action,Ubisoft,0.19,5-Feb-09,70.0,35.0,8.6,18.0,Acquire
Megamind: Mega Team Unite,Wii,Adventure,THQ,0.21,2-Nov-10,,,tbd,,THQ
Major League Baseball 2K12,PSP,Sports,Take-Two Interactive,0.06,6-Mar-12,,,tbd,,Visual Concepts
Scooby-Doo! Who's Watching Who?,PSP,Adventure,THQ,0.07,,,,,,
Over the Hedge: Hammy Goes Nuts!,PSP,Platform,Activision,0.05,21-Nov-06,58.0,7.0,tbd,,Amaze Entertainment
Onore no Shinzuru Michi wo Yuke,PSP,Puzzle,From Software,0.01,,,,,,
Iron Man,Wii,Action,Sega,0.58,2-May-08,44.0,14.0,7,8.0,Artificial Mind and Movement
LEGO Rock Band,PS3,Misc,Warner Bros. Interactive Entertainment,0.36,3-Nov-09,75.0,36.0,7.5,16.0,TT Fusion
Championship Foosball,Wii,Sports,505 Games,0.09,25-Nov-08,,,tbd,,505 Games
Big League Sports,X360,Sports,Activision,0.18,8-Nov-11,,,tbd,,Activision
thinkSMART FAMILY!,Wii,Misc,Conspiracy Entertainment,0.03,22-Jun-10,,,tbd,,Mentor Interactive
"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,Action,D3Publisher,0.02,,,,,,
SPRay,Wii,Action,Tecmo Koei,0.04,3-Dec-08,42.0,16.0,5.4,5.0,EKO Software
Combat of Giants: Dinosaurs 3D,3DS,Strategy,Ubisoft,0.35,22-Mar-11,44.0,18.0,5.3,9.0,Ubisoft
Risen 2: Dark Waters,PS3,Role-Playing,Deep Silver,0.16,31-Jul-12,47.0,13.0,5.1,30.0,Piranha Bytes
SD Gundam G Generation World,Wii,Strategy,Namco Bandai Games,0.05,,,,,,
NieR,X360,Role-Playing,Square Enix,0.26,27-Apr-10,67.0,60.0,8.5,82.0,Cavia Inc.
Virtua Tennis 3,PS3,Sports,Sega,1.02,20-Mar-07,80.0,35.0,7.9,27.0,Sega AM3
Super Mario 3D World,WiiU,Platform,Nintendo,1.77,22-Nov-13,93.0,79.0,8.9,554.0,Nintendo
Sumioni,PSV,Action,,0.01,20-Mar-12,57.0,21.0,6.4,11.0,Acquire
Skylanders: Spyro's Adventure,PS3,Action,Activision,0.76,16-Oct-11,77.0,18.0,5.3,31.0,Toys for Bob
GRID 2,X360,Racing,Codemasters,0.2,28-May-13,78.0,50.0,5.7,143.0,Codemasters
The Sky Crawlers: Innocent Aces,Wii,Simulation,Namco Bandai Games,0.11,12-Jan-10,74.0,42.0,8.6,11.0,Access Games
Rogue Trooper: Quartz Zone Massacre,Wii,Shooter,Reef Entertainment,0.07,4-Dec-09,70.0,14.0,8.3,4.0,Rebellion
Harvest Moon: The Tale of Two Towns,3DS,Simulation,Unknown,0.26,1-Nov-11,63.0,14.0,6.5,23.0,Marvelous
Juiced: Eliminator,PSP,Racing,THQ,0.42,28-Jun-06,65.0,24.0,8.8,4.0,Juice Games
Worms: A Space Oddity,Wii,Strategy,THQ,0.07,18-Mar-08,64.0,26.0,4.3,11.0,Team 17
Fight Night Round 4,X360,Fighting,Electronic Arts,1.36,23-Jun-09,87.0,77.0,8,79.0,EA Canada
Wet,X360,Shooter,Bethesda Softworks,0.47,15-Sep-09,69.0,79.0,7.4,71.0,Artificial Mind and Movement
Next Hatsune Miku: Project Diva,PSV,Misc,Sega,0.23,,,,,,
I'm A Celebrity: Get Me Out of Here!,Wii,Misc,Mindscape,0.17,,,,,,
Angry Birds: Star Wars,Wii,Strategy,Activision,0.13,29-Oct-13,,,tbd,,Rovio Entertainment Ltd
Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,PSP,Adventure,Banpresto,0.15,,,,,,
Army of Two: The 40th Day,PS3,Shooter,Electronic Arts,0.79,12-Jan-10,74.0,56.0,7.1,58.0,EA Montreal
The Walking Dead: A Telltale Games Series,X360,Adventure,Avanquest Software,0.59,11-Dec-12,92.0,12.0,8.5,880.0,Telltale Games
Miyako: Awayuki no Utage,PSP,Action,Idea Factory,0.01,,,,,,
Mario Party 9,Wii,Misc,Nintendo,2.74,11-Mar-12,73.0,45.0,6.6,84.0,Nd Cube
Penny Racers Party: Turbo-Q Speedway,Wii,Racing,Takara Tomy,0.08,20-Oct-08,,,tbd,,Takara Tomy
Putty Squad,PS4,Action,System 3,0.01,11-Mar-14,36.0,4.0,,,System 3
Taiko no Tatsujin Portable 2,PSP,Misc,Namco Bandai Games,0.05,,,,,,
Hammerin' Hero,PSP,Action,Irem Software Engineering,0.04,7-Apr-09,73.0,19.0,7.6,5.0,Irem
Assassin's Creed III,WiiU,Action,Ubisoft,0.23,18-Nov-12,85.0,26.0,7.1,143.0,Ubisoft Quebec
"Carnival Games: Monkey See, Monkey Do!",X360,Misc,Take-Two Interactive,0.27,5-Apr-11,56.0,12.0,5.5,6.0,Take-Two Interactive
Dream Pinball 3D,Wii,Misc,SouthPeak Games,0.13,22-Apr-08,54.0,8.0,7.6,7.0,TopWare Interactive
Family Feud: 2010 Edition,Wii,Misc,Ubisoft,0.61,29-Sep-09,,,tbd,,Ludia Inc.
G-Force,Wii,Action,Disney Interactive Studios,0.43,21-Jul-09,69.0,6.0,8,6.0,Eurocom Entertainment Software
Dangan-Ronpa,PSV,Adventure,Nippon Ichi Software,0.12,,,,,,
Mana Khemia: Student Alliance,PSP,Role-Playing,Nippon Ichi Software,0.07,10-Mar-09,41.0,19.0,5.1,35.0,Gust
Winter Stars,PS3,Sports,Deep Silver,0.05,9-Nov-11,53.0,6.0,tbd,,49Games
Prototype 2,X360,Action,Activision,0.69,24-Apr-12,74.0,69.0,7.1,144.0,Radical Entertainment
Kenka Banchou 4: Ichinen Sensou,PSP,Action,Spike,0.19,,,,,,
Field Commander,PSP,Strategy,Sony Online Entertainment,0.16,23-May-06,77.0,53.0,8.1,28.0,"Sony Online Entertainment, Mind Control Software"
Way of the Samurai 3,X360,Action,Gamebridge,0.19,20-Oct-09,55.0,22.0,6.9,11.0,Acquire
Brunswick Pro Bowling,Wii,Sports,505 Games,0.37,28-Aug-07,52.0,11.0,5.4,23.0,Point of View
Theatrhythm: Final Fantasy,3DS,Misc,Square Enix,0.45,3-Jul-12,78.0,60.0,8,96.0,Indies Zero
Warriors of the Lost Empire (JP sales),PSP,Role-Playing,Mercury Games,0.02,,,,,,
Legend of the Guardians: The Owls of Ga'Hoole,X360,Action,Warner Bros. Interactive Entertainment,0.05,14-Sep-10,60.0,13.0,tbd,,Krome Studios
Hasbro Family Game Night,Wii,Puzzle,Electronic Arts,1.39,11-Nov-08,63.0,12.0,7.6,10.0,EA Bright Light
Moshi Monsters: Katsuma Unleashed,3DS,Action,Activision,0.01,5-Nov-13,,,tbd,,Black Lantern Studios
TNA iMPACT!,X360,Fighting,Midway Games,0.43,,,,,,
Burnout Revenge,X360,Racing,Electronic Arts,0.46,7-Mar-06,89.0,61.0,7.9,119.0,Criterion Games
Call of Duty: Black Ops,X360,Shooter,Activision,13.97,9-Nov-10,87.0,89.0,6,1267.0,Treyarch
SoulCalibur: Broken Destiny,PSP,Fighting,Namco Bandai Games,0.49,1-Sep-09,80.0,52.0,6.4,38.0,Bandai Namco Games
WRC: FIA World Rally Championship,PS3,Racing,Black Bean Games,0.18,8-Oct-10,68.0,24.0,tbd,,Milestone S.r.l
Maximum Racing: GP Classic Racing,Wii,Racing,Nordic Games,0.03,14-Mar-11,,,tbd,,Nordic Games Publishing
Ikki Tousen: Eloquent Fist,PSP,Fighting,Marvelous Interactive,0.02,,,,,,
Harry Potter and the Half-Blood Prince,Wii,Action,Electronic Arts,0.73,30-Jun-09,60.0,35.0,6.3,6.0,EA Bright Light
Valkyrie Profile: Lenneth,PSP,Role-Playing,Square Enix,0.34,18-Jul-06,80.0,39.0,8.5,45.0,TOSE
Final Fantasy XIII,X360,Role-Playing,Square Enix,2.04,9-Mar-10,82.0,54.0,6.2,439.0,Square Enix
Dragon Ball Z: Ultimate Tenkaichi,PS3,Fighting,Namco Bandai Games,0.54,25-Oct-11,58.0,26.0,5.5,57.0,Spike
LEGO Pirates of the Caribbean: The Video Game,3DS,Action,Disney Interactive Studios,0.5,10-May-11,71.0,16.0,7.1,18.0,Traveller's Tales
New Play Control! Pikmin,Wii,Strategy,Nintendo,0.6,,,,,,
Rengoku: The Tower of Purgatory,PSP,Action,Konami Digital Entertainment,0.11,26-Apr-05,43.0,30.0,5.4,21.0,Neverland
Hoshizora * Planet: One Small Step For...,PSP,Adventure,CyberFront,0.01,,,,,,
Major League Baseball 2K9,X360,Sports,Spike,0.6,3-Mar-09,64.0,29.0,5.3,25.0,2K Sports
Carol Vorderman's Sudoku,PSP,Puzzle,Xplosiv,0.03,6-Mar-07,72.0,18.0,tbd,,Empire Interactive
Syphon Filter: Dark Mirror,PSP,Shooter,Sony Computer Entertainment,0.27,14-Mar-06,87.0,58.0,9.3,103.0,Sony Bend
Prison Break: The Conspiracy,X360,Adventure,Deep Silver,0.19,1-Apr-10,40.0,37.0,4.4,15.0,ZootFly
Jikkyou Powerful Pro Yakyuu 2013,PSP,Sports,Konami Digital Entertainment,0.14,,,,,,
Little Deviants,PSV,Platform,Sony Computer Entertainment,0.21,15-Feb-12,57.0,62.0,5.2,44.0,Bigbig Studios
Test Drive Unlimited,X360,Racing,Atari,0.3,5-Sep-06,82.0,69.0,8,77.0,Eden Studios
Cate West: The Vanishing Files,Wii,Adventure,Oxygen Interactive,0.07,23-Mar-09,65.0,8.0,tbd,,Destineer
NPPL Championship Paintball 2009,X360,Shooter,Activision Value,0.11,25-Nov-08,44.0,9.0,7,8.0,FUN Labs
Jikkyou Powerful Pro Yakyuu 2011,PS3,Sports,Konami Digital Entertainment,0.26,,,,,,
Dead Rising 2: Off the Record,PS3,Action,Capcom,0.28,11-Oct-11,72.0,31.0,6.7,21.0,Capcom Vancouver
Combat Wings: The Great Battles of WWII,Wii,Simulation,City Interactive,0.03,Canceled,,,,,City Interactive
Kinect Star Wars,X360,Action,Microsoft Game Studios,1.51,3-Apr-12,55.0,61.0,3.5,126.0,Terminal Reality
WRC: FIA World Rally Championship,PSP,Racing,Sony Computer Entertainment,0.03,18-Apr-06,67.0,18.0,8.1,17.0,Traveller's Tales
Storm Lover Kai!!,PSP,Action,D3Publisher,0.02,,,,,,
Star Ocean: First Departure,PSP,Role-Playing,Square Enix,0.62,21-Oct-08,74.0,32.0,8,20.0,TOSE
Nitrobike,Wii,Racing,Ubisoft,0.13,15-Jan-08,49.0,22.0,7.1,7.0,Left Field Productions
Chou no Doku: Hana no Kusari - Taishou Tsuyakoi Ibun,PSP,Adventure,Prototype,0.01,,,,,,
Jurassic: The Hunted,PS3,Shooter,Activision,0.15,3-Nov-09,,,tbd,,Activision
Assassin's Creed IV: Black Flag,WiiU,Action,Ubisoft,0.13,29-Oct-13,86.0,5.0,7.4,107.0,Ubisoft
Man vs. Wild,X360,Adventure,Crave Entertainment,0.09,26-Apr-11,,,4.7,7.0,Scientifically Proven
Major Minor's Majestic March,Wii,Misc,Majesco Entertainment,0.05,2-Apr-09,46.0,16.0,tbd,,NanaOn-Sha
Minna no Chizu 2,PSP,Misc,Zenrin,0.02,,,,,,
Killzone: Mercenary,PSV,Shooter,Sony Computer Entertainment Europe,0.35,10-Sep-13,78.0,85.0,9.1,293.0,Guerilla Cambridge
Darksiders II,WiiU,Action,THQ,0.1,18-Nov-12,85.0,36.0,7.9,86.0,Vigil Games
Iron Chef America: Supreme Cuisine,Wii,Simulation,Destineer,0.17,,,,,,
Schlag den Raab,Wii,Misc,Namco Bandai Games,0.15,,,,,,
To Heart 2 DX Plus,PS3,Adventure,Aqua Plus,0.05,,,,,,
Naruto Shippuden: Ultimate Ninja Impact,PSP,Fighting,Namco Bandai Games,0.32,18-Oct-11,59.0,16.0,6.6,17.0,Racjin
Metal Gear Rising: Revengeance,X360,Action,Konami Digital Entertainment,0.33,19-Feb-13,82.0,46.0,7.8,290.0,PlatinumGames
"Sakura Wars: So Long, My Love",Wii,Role-Playing,Ackkstudios,0.09,30-Mar-10,75.0,30.0,7,26.0,Idea Factory
Virtua Tennis: World Tour (jp sales),PSP,Sports,Sega,0.02,,,,,,
Dragon Blade: Wrath of Fire,Wii,Action,D3Publisher,0.18,25-Sep-07,51.0,19.0,7.8,14.0,D3Publisher
Dynasty Warriors,PSP,Action,Tecmo Koei,0.51,16-Mar-05,62.0,26.0,8,19.0,Koei
BIT.TRIP SAGA,3DS,Misc,Rising Star Games,0.09,13-Sep-11,75.0,21.0,8,22.0,Gaijin Games
LEGO Harry Potter: Years 1-4,Wii,Adventure,Warner Bros. Interactive Entertainment,2.29,29-Jun-10,79.0,13.0,8,26.0,Traveller's Tales
CSI: Fatal Conspiracy,PS3,Adventure,Ubisoft,0.15,26-Oct-10,39.0,5.0,4.5,4.0,Telltale Games
Heatseeker,Wii,Action,Codemasters,0.09,1-May-07,62.0,25.0,6.2,31.0,IR Gurus
Mountain Sports,Wii,Sports,Activision,0.11,27-Oct-09,,,tbd,,Activision
Castlevania: The Dracula X Chronicles,PSP,Platform,Konami Digital Entertainment,0.38,23-Oct-07,80.0,43.0,8.1,36.0,Konami
Skate 3,X360,Sports,Electronic Arts,1.82,11-May-10,80.0,65.0,7.5,71.0,EA Black Box
Petz Rescue: Wildlife Vet,Wii,Simulation,Ubisoft,0.2,21-Oct-08,,,tbd,,"Virtual Toys, Lexis Numerique"
Puzzle Kingdoms,Wii,Puzzle,Zoo Digital Publishing,0.11,19-May-09,63.0,11.0,tbd,,Infinite Interactive
MotoGP 10/11,PS3,Racing,Capcom,0.15,15-Mar-11,68.0,32.0,5.9,21.0,Monumental Games
Night at the Museum: Battle of the Smithsonian,X360,Action,Majesco Entertainment,0.11,5-May-09,50.0,15.0,7.7,6.0,Majesco Games
Dead or Alive 5,X360,Fighting,Ubisoft Annecy,0.23,25-Sep-12,76.0,39.0,7.7,82.0,Team Ninja
Team Elimination Games,Wii,Misc,Ubisoft,0.07,10-Nov-09,,,tbd,,Ubisoft
Skylanders Giants,Wii,Action,Activision,2.33,21-Oct-12,78.0,8.0,7.1,12.0,Toys for Bob
Wall-E,PS3,Platform,THQ,0.39,24-Jun-08,51.0,24.0,3,5.0,Heavy Iron Studios
Michael Jackson: The Experience,PSP,Misc,Ubisoft,0.13,23-Nov-10,,,tbd,,Ubisoft
Madden NFL 11,X360,Sports,Electronic Arts,2.62,10-Aug-10,84.0,47.0,5.7,120.0,EA Tiburon
Jinsei Game Wii,Wii,Misc,Takara Tomy,0.02,,,,,,
Cabela's Trophy Bucks,X360,Sports,Activision Value,0.04,19-Sep-07,39.0,4.0,tbd,,FUN Labs
Sega Superstars Tennis,Wii,Sports,Sega,1.04,18-Mar-08,71.0,24.0,5.9,11.0,Sumo Digital
Naruto: Clash of Ninja Revolution 2,Wii,Fighting,Tomy Corporation,0.38,21-Oct-08,72.0,20.0,8.4,10.0,Eighting
Summon Night 3,PSP,Role-Playing,Namco Bandai Games,0.12,,,,,,
Game of Thrones,PS3,Role-Playing,Focus Home Interactive,0.17,15-May-12,53.0,14.0,5.5,71.0,Cyanide Studios
Castlevania: Lords of Shadow,X360,Action,Konami Digital Entertainment,0.57,5-Oct-10,83.0,70.0,7.9,181.0,Mercury Steam
Harvey Birdman: Attorney at Law,Wii,Adventure,Capcom,0.08,8-Jan-08,60.0,28.0,7.8,4.0,High Voltage Software
Asura's Wrath,PS3,Action,Capcom,0.32,21-Feb-12,71.0,39.0,7,114.0,CyberConnect2
Top Spin 4,Wii,Sports,Take-Two Interactive,0.12,15-Mar-11,54.0,8.0,7.4,7.0,2K Games
Hexyz Force,PSP,Role-Playing,Atlus,0.14,2-Jun-10,68.0,13.0,7.8,16.0,Sting
Makai Ouji: Devils and Realist - Dairiou no Hihou,3DS,Action,Namco Bandai Games,0.01,,,,,,
FIFA Soccer 13,PS3,Action,Electronic Arts,7.13,25-Sep-12,88.0,37.0,6.4,278.0,Electronic Arts
Chou Jigen Game Neptune Mk-II,PS3,Role-Playing,Compile Heart,0.09,,,,,,
Assassin's Creed II,X360,Action,Ubisoft,5.07,17-Nov-09,90.0,82.0,8.8,914.0,Ubisoft Montreal
Homefront,X360,Shooter,THQ,1.4,15-Mar-11,70.0,85.0,6,371.0,Kaos Studios
Monster Hunter Frontier Online: Forward 1,X360,Role-Playing,Capcom,0.03,,,,,,
Kenka Bancho: Badass Rumble,PSP,Action,Spike,0.25,10-Nov-09,70.0,21.0,8.8,4.0,Bullets
Sengoku Musou 3 Z,PS3,Action,Ackkstudios,0.33,,,,,,
One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,Wii,Adventure,Namco Bandai Games,0.26,,,,,,
Katekyoo Hitman Reborn! Battle Arena 2 - Spirits Burst,PSP,Fighting,Marvelous Interactive,0.04,,,,,,
Create,PS3,Misc,Electronic Arts,0.11,16-Nov-10,61.0,23.0,5,4.0,EA Bright Light
Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,Action,5pb,0.02,,,,,,
Gunslingers,Wii,Shooter,Neko Entertainment,0.14,28-Jun-11,,,tbd,,Valcon Games
Field & Stream: Total Outdoorsman Challenge,X360,Sports,505 Games,0.08,,,,,,
Ultimate Board Game Collection,PSP,Misc,Xplosiv,0.07,1-May-07,57.0,6.0,tbd,,Jack of All Games
Arcade Zone,Wii,Misc,Activision,0.12,8-Sep-09,,,tbd,,Activision
You Don't Know Jack,PS3,Misc,THQ,0.15,8-Feb-11,82.0,11.0,7,15.0,"Jellyvision, Iron Galaxy Studios"
Carnival Games: Wild West 3D,3DS,Misc,Take-Two Interactive,0.07,21-Nov-11,,,tbd,,Take-Two Interactive
Ninja Gaiden 3,WiiU,Action,Nintendo,0.05,,,,,,
Major League Baseball 2K8,Wii,Sports,Take-Two Interactive,0.13,3-Mar-08,63.0,10.0,7.4,15.0,2K Sports
Gundam Battle Universe,PSP,Fighting,Namco Bandai Games,0.26,,,,,,
The Simpsons Game,PS3,Action,Electronic Arts,0.83,30-Oct-07,71.0,30.0,7.3,32.0,EA Redwood Shores
Crash: Mind Over Mutant,Wii,Platform,Vivendi Games,0.4,7-Oct-08,70.0,13.0,8.7,6.0,Radical Entertainment
WRC 2: FIA World Rally Championship,PS3,Racing,Ubisoft,0.15,,,,,,
Vanquish,PS3,Adventure,Sega,0.56,19-Oct-10,84.0,61.0,8,214.0,PlatinumGames
Medabots Dual: Kabuto / Kuwagata,3DS,Role-Playing,Rocket Company,0.05,,,,,,
Cars: Race-O-Rama,PSP,Racing,THQ,0.4,12-Oct-09,,,tbd,,Tantalus Interactive
Super Mario Galaxy,Wii,Platform,Nintendo,11.03,12-Nov-07,97.0,73.0,8.9,1551.0,Nintendo
Conception II: Shichisei no Michibiki to Mazuru no Akumu,3DS,Role-Playing,Screenlife,0.02,,,,,,
White Album 2: Shiawase no Mukougawa,PSV,Adventure,Aqua Plus,0.01,,,,,,
